M,P,exit_mode,horizon_hours,max_k,total_return,profit_factor,max_drawdown,n_trades,turnover,total_trade_cost,total_funding,n_bars,sharpe
168,0.95,median,24,3,-0.9970994294061897,0.955018501991431,0.9972545236355905,42510,15065.0,15.065000000000001,-0.7662471066666667,33390,-1.2102326956317953
168,0.95,median,24,5,-0.9992730621012794,0.9337387620829748,0.9993060068552984,80948,16778.7,16.7787,-0.6656175636666667,33390,-1.8309575787431258
168,0.95,median,24,10,-0.9999485229508879,0.9007066320008261,0.9999514303522722,153875,18471.709523809524,18.471709523809523,-0.5956534714960317,33390,-2.7931728841039125
168,0.95,median,72,3,-0.996580866119715,0.9565876578780483,0.9967667976739419,42248,14955.333333333332,14.955333333333334,-0.7592204816666666,33390,-1.1656189830459938
168,0.95,median,72,5,-0.9992478361244368,0.934006090832967,0.9992826140819843,80708,16691.1,16.6911,-0.6646995101666667,33390,-1.821828417351852
168,0.95,median,72,10,-0.9999450756467506,0.9011010971049533,0.9999482275438949,153878,18384.515873015873,18.38451587301587,-0.5943564203293651,33390,-2.7816736919644103
168,0.95,median,168,3,-0.996580866119715,0.9565876578780483,0.9967667976739419,42248,14955.333333333332,14.955333333333334,-0.7592204816666666,33390,-1.1656189830459938
168,0.95,median,168,5,-0.9992478361244368,0.934006090832967,0.9992826140819843,80708,16691.1,16.6911,-0.6646995101666667,33390,-1.821828417351852
168,0.95,median,168,10,-0.999944960826128,0.9011236601598711,0.9999481193123857,153877,18384.226984126984,18.384226984126983,-0.5943564203293651,33390,-2.7809958533965338
168,0.95,horizon,24,3,-0.34246595211541275,1.0123598404714529,0.8182557953135114,4809,1464.6666666666665,1.4646666666666666,-0.58839366,33390,0.32269933898692416
168,0.95,horizon,24,5,-0.6268399842970078,1.0006723094585679,0.7907465112510433,10726,1528.0,1.528,-0.5616229313333334,33390,0.01827540126554103
168,0.95,horizon,24,10,-0.8290820234259844,0.9863735285727527,0.8997932572674849,40619,1688.8468253968251,1.6888468253968252,-0.5067623639484127,33390,-0.3611398957683925
168,0.95,horizon,72,3,-0.28242411189751593,1.0095649946159344,0.8617397630530471,1118,333.6666666666667,0.33366666666666667,-0.42459252666666664,33390,0.26606958187839924
168,0.95,horizon,72,5,0.5163756148082812,1.0181907580557499,0.8400902179754163,2477,339.1,0.3391,-0.34804183883333334,33390,0.49728843883385654
168,0.95,horizon,72,10,0.17409299946206191,1.0136751289149393,0.6928831006594565,9513,365.5801587301587,0.36558015873015864,-0.34763588174603177,33390,0.36332160339358643
168,0.95,horizon,168,3,-0.9594389355717614,0.9682865266360768,0.9679780975062662,166,52.0,0.052000000000000005,-0.40976974833333335,33390,-0.8757168392157217
168,0.95,horizon,168,5,-0.9630093894179426,0.9583051573453654,0.9672862148841115,400,55.5,0.05550000000000001,-0.3992250878333334,33390,-1.17795711748731
168,0.95,horizon,168,10,-0.9047400314047016,0.9657852909063186,0.9165292579854469,1521,60.713492063492055,0.06071349206349206,-0.32385981082142856,33390,-0.9507340360025224
168,0.98,median,24,3,-0.9916572911844412,0.9682350122501301,0.994295736205302,35899,14311.0,14.311,-0.8038974416666665,33390,-0.8156872075860508
168,0.98,median,24,5,-0.9983186872265983,0.9484173094677286,0.9986284754167186,58460,15416.166666666666,15.416166666666665,-0.7615811676666666,33390,-1.3606299957779486
168,0.98,median,24,10,-0.9995111312534035,0.933152093908643,0.9996033158232653,89292,16011.428571428572,16.01142857142857,-0.7161645067301586,33390,-1.8030280329358925
168,0.98,median,72,3,-0.9938808726533761,0.9647858823474926,0.9959143964971403,35525,14084.0,14.084000000000001,-0.7997822016666667,33390,-0.908312101319425
168,0.98,median,72,5,-0.9991561231747441,0.9407561092587635,0.9992737109964069,58259,15188.3,15.188299999999998,-0.7601743656666667,33390,-1.5745314411008051
168,0.98,median,72,10,-0.9996150434256081,0.9301473412643612,0.9996704360729768,89093,15788.964285714286,15.788964285714286,-0.7143055245198413,33390,-1.894756627803413
168,0.98,median,168,3,-0.9942909558440498,0.9640598136989583,0.9959783157562727,35468,14064.333333333332,14.064333333333334,-0.79940419,33390,-0.9274049251484042
168,0.98,median,168,5,-0.9991637189586097,0.9406446831689679,0.999280248365523,58251,15180.2,15.180200000000001,-0.7602965405,33390,-1.5775271897252634
168,0.98,median,168,10,-0.9996204212422855,0.9299950461439201,0.9996750400582075,89109,15782.2,15.7822,-0.7143875763531746,33390,-1.8987239134896954
168,0.98,horizon,24,3,-0.7646969806138256,1.0004870024260628,0.9676544279118549,8609,2454.3333333333335,2.4543333333333335,-0.6033695766666666,33390,0.012834474881542376
168,0.98,horizon,24,5,-0.7553798664196126,0.9964476020393113,0.9562459238186308,20711,2620.233333333333,2.620233333333333,-0.6007745648333334,33390,-0.09542136833542937
168,0.98,horizon,24,10,-0.6170808142860849,0.9994567145944127,0.8950446058054564,66815,2828.242063492063,2.8282420634920635,-0.525410601063492,33390,-0.01436578321655317
168,0.98,horizon,72,3,-0.9314129824596808,0.981322712075821,0.9642051504377448,2504,663.6666666666667,0.6636666666666666,-0.299429505,33390,-0.5113418716512609
168,0.98,horizon,72,5,-0.8757236327861067,0.9820982018343198,0.9322677382918094,6063,676.3,0.6762999999999999,-0.3405002578333334,33390,-0.49987696643594026
168,0.98,horizon,72,10,-0.06662789581884943,1.009977693698339,0.7279102106660245,23637,737.9880952380951,0.737988095238095,-0.4252253911785714,33390,0.2672141353961986
168,0.98,horizon,168,3,-0.9110567863777279,0.9795108300865643,0.9311450867304472,720,191.66666666666669,0.19166666666666668,-0.38910709666666665,33390,-0.5667136965720752
168,0.98,horizon,168,5,-0.7683255851311865,0.988265308296731,0.8596155375811221,1838,201.3,0.20129999999999998,-0.3578746591666667,33390,-0.3191774460992997
168,0.98,horizon,168,10,-0.749719880958408,0.983687312304984,0.8087411394054339,6402,194.51507936507932,0.1945150793650793,-0.3462570748928572,33390,-0.4384948408350095
168,0.99,median,24,3,-0.949795831488788,0.9844401970167882,0.9834689249097527,23397,10733.666666666668,10.733666666666666,-0.7732518783333333,33390,-0.3582407002879084
168,0.99,median,24,5,-0.9832606376355035,0.9700413757481688,0.9924983560765633,34201,11364.833333333332,11.364833333333333,-0.752800674,33390,-0.7068706107316745
168,0.99,median,24,10,-0.9899290822264493,0.963406700457294,0.993864191272994,48180,11666.215873015874,11.666215873015872,-0.7464805830119048,33390,-0.8759391225512823
168,0.99,median,72,3,-0.9681708163334826,0.9790068569972539,0.9809720583773577,23094,10475.666666666668,10.475666666666667,-0.7644185016666667,33390,-0.4911330021202424
168,0.99,median,72,5,-0.9902307175441006,0.9637546241693794,0.9937408111717354,34248,11116.5,11.1165,-0.753614306,33390,-0.8687759890548745
168,0.99,median,72,10,-0.9921876686221838,0.9607684186966408,0.9951367622244828,48652,11423.369047619048,11.423369047619047,-0.7501737180396826,33390,-0.9532960479918956
168,0.99,median,168,3,-0.9670336682388507,0.9794225144838637,0.9814556198771284,23094,10459.0,10.459000000000001,-0.7652025133333332,33390,-0.48178673528194804
168,0.99,median,168,5,-0.989879640396887,0.9642451522463589,0.9938734097594536,34250,11104.366666666667,11.104366666666667,-0.7523211380000001,33390,-0.8576761468398124
168,0.99,median,168,10,-0.9921692329806054,0.9608371140139351,0.9953728682488046,48748,11406.103968253967,11.40610396825397,-0.750768217452381,33390,-0.9522869099615647
168,0.99,horizon,24,3,-0.9044927846064958,0.9918814278221372,0.950650780925401,10417,3162.666666666667,3.1626666666666665,-0.6847407433333332,33390,-0.20936552523471508
168,0.99,horizon,24,5,-0.940965049913768,0.9808929333800025,0.9543604625672324,23362,3362.1666666666665,3.3621666666666665,-0.6282879636666667,33390,-0.5047324869470117
168,0.99,horizon,24,10,-0.9487179920503064,0.9750253585809763,0.9583030090616855,57491,3523.5444444444443,3.5235444444444446,-0.5813261358373016,33390,-0.6702741874167685
168,0.99,horizon,72,3,-0.5808567656794013,1.0043860917198741,0.9215868965773135,3680,982.0,0.982,-0.4875062383333333,33390,0.1193377125147266
168,0.99,horizon,72,5,-0.641378868558768,0.9982124440343239,0.9391435392023225,9312,1028.1333333333332,1.0281333333333331,-0.45146702633333335,33390,-0.05031332652351975
168,0.99,horizon,72,10,-0.3064272829646447,1.0055627781405734,0.852812216241677,31191,1069.9650793650792,1.0699650793650792,-0.46470156025396825,33390,0.15289143666481875
168,0.99,horizon,168,3,-0.8561887659386105,0.9918119728238786,0.9758078183268246,1340,347.6666666666667,0.3476666666666667,-0.29595564999999996,33390,-0.21962631103704125
168,0.99,horizon,168,5,-0.9177540476599665,0.9772070061421843,0.9648405407811834,3434,353.6333333333333,0.35363333333333336,-0.4024817385,33390,-0.6253650170172268
168,0.99,horizon,168,10,-0.8611908500992271,0.9787258542797649,0.9378648055501522,12788,374.147619047619,0.37414761904761895,-0.4603537936825397,33390,-0.583489930185339
168,0.995,median,24,3,-0.9814435780564823,0.9253006043759725,0.9817317914384724,9138,5021.0,5.021,-0.38915560166666674,33390,-1.3322481705577773
168,0.995,median,24,5,-0.9889542120143003,0.9144454732375812,0.9892601287913231,12693,5249.633333333333,5.249633333333334,-0.40893122716666663,33390,-1.5536731651759805
168,0.995,median,24,10,-0.9930269790727463,0.9048454209259718,0.9932248459307472,17973,5380.440476190476,5.380440476190476,-0.42171350092460325,33390,-1.739786805648549
168,0.995,median,72,3,-0.9857406874112958,0.9215697662922998,0.9860685395326114,9120,4921.333333333334,4.921333333333334,-0.39271925166666666,33390,-1.4285152418047118
168,0.995,median,72,5,-0.9885133791640875,0.9177528580434055,0.988916141030514,12709,5158.7,5.1587000000000005,-0.4137862371666666,33390,-1.5198593584774438
