M,P,horizon_hours,max_k,total_return,profit_factor,max_drawdown,n_trades,turnover,total_trade_cost,total_funding,n_bars,sharpe
168,0.95,24,3,-0.999999664267936,0.8705500677639733,0.9999996841592922,66466,23107.333333333336,23.10733333333333,-0.7862016033333332,33390,-3.648778045859026
168,0.95,24,5,-0.9999979475811437,0.8740197789487812,0.9999981091620042,100154,21312.166666666668,21.31216666666667,-0.674307234,33390,-3.5798568487895417
168,0.95,24,10,-0.9999892170147521,0.884277982150691,0.9999900222915467,161299,19787.088095238098,19.787088095238094,-0.5998466045753968,33390,-3.288131128007043
168,0.95,72,3,-0.9999996553698363,0.8706981391995315,0.9999996760555521,66309,23037.0,23.037,-0.7824792616666666,33390,-3.6470151357623397
168,0.95,72,5,-0.999997712229932,0.8748533629841821,0.9999978940761202,99969,21238.7,21.238699999999998,-0.6731157935000001,33390,-3.5550420687599793
168,0.95,72,10,-0.9999892316464556,0.884005054031055,0.9999900440415511,161331,19705.351587301586,19.705351587301585,-0.5987333697023809,33390,-3.2974925981036933
168,0.95,168,3,-0.9999996553698363,0.8706981391995315,0.9999996760555521,66309,23037.0,23.037,-0.7824792616666666,33390,-3.6470151357623397
168,0.95,168,5,-0.9999977099276466,0.8748642418296014,0.9999978919568348,99963,21238.7,21.238699999999998,-0.6731157935000001,33390,-3.554730357512652
168,0.95,168,10,-0.999989209134965,0.8840270423753913,0.9999900232283911,161330,19705.062698412698,19.705062698412696,-0.5987333697023809,33390,-3.2968168536999114
168,0.98,24,3,-0.9997236976158977,0.9341316473284554,0.9997835024739509,45272,17367.0,17.367,-0.8604989983333333,33390,-1.7378912702483742
168,0.98,24,5,-0.9997517103382585,0.9280798844411536,0.9997999899313265,64570,16849.2,16.8492,-0.7720643893333332,33390,-1.9287742939614354
168,0.98,24,10,-0.9997187410029905,0.9273360990206863,0.9997728982518784,89998,16420.845238095237,16.42084523809524,-0.7210364893849206,33390,-1.9714063656323153
168,0.98,72,3,-0.9998196642107642,0.9295232480308726,0.9998509178816734,44856,17135.666666666664,17.13566666666667,-0.8593153699999999,33390,-1.869074594781377
168,0.98,72,5,-0.9998184210231261,0.9242377078591347,0.9998456757726237,64245,16614.766666666666,16.614766666666668,-0.7695401486666666,33390,-2.04386484680785
168,0.98,72,10,-0.9997858397093974,0.9238951811017192,0.9998175565292495,90099,16208.613492063492,16.208613492063492,-0.7178933976468254,33390,-2.078042052671774
168,0.98,168,3,-0.9998189680590801,0.9295718851084906,0.9998503423787841,44840,17128.666666666664,17.128666666666668,-0.8595307666666666,33390,-1.867543234927387
168,0.98,168,5,-0.9998196285486436,0.9241661911418955,0.9998467020502563,64224,16608.5,16.6085,-0.7696312258333333,33390,-2.0453820613524445
168,0.98,168,10,-0.9997893487785855,0.9237222241240666,0.9998205459105207,90107,16201.97619047619,16.201976190476188,-0.717967422670635,33390,-2.082555924975894
168,0.99,24,3,-0.9897051687809133,0.9668474147699115,0.9943000882439996,27398,12062.333333333332,12.062333333333333,-0.7984148583333333,33390,-0.776470412007177
168,0.99,24,5,-0.990526783889164,0.9636541602371261,0.9934470264285122,36098,11891.766666666666,11.891766666666667,-0.7685238529999999,33390,-0.8631169419336653
168,0.99,24,10,-0.9905952473472173,0.9626883271763196,0.9943646712175854,48089,11822.412698412698,11.822412698412698,-0.7519032914880952,33390,-0.893186963153207
168,0.99,72,3,-0.9916984735104112,0.9647936065891711,0.9949334775544079,26904,11722.333333333332,11.722333333333335,-0.8049834116666666,33390,-0.8364393450727604
168,0.99,72,5,-0.9937502537153929,0.9592682585181856,0.9954551503857819,36060,11633.066666666668,11.633066666666668,-0.7718441588333333,33390,-0.9822398615748169
168,0.99,72,10,-0.9933956647499164,0.9589523765570993,0.9956616417285559,48512,11578.94761904762,11.578947619047618,-0.7523513650595238,33390,-0.9978576120377979
168,0.99,168,3,-0.9914952925067252,0.9650831549537485,0.9950886965363173,26902,11704.333333333332,11.704333333333334,-0.8060003416666667,33390,-0.8301037638025149
168,0.99,168,5,-0.9937830719438286,0.9592522225257554,0.995564015949945,36076,11615.166666666666,11.615166666666667,-0.772385224,33390,-0.9833686621914296
168,0.99,168,10,-0.9935203404275882,0.9587855159807249,0.995959722376483,48608,11563.070634920634,11.563070634920635,-0.7528043320634921,33390,-1.0027500195086376
336,0.95,24,3,-0.9999995857824483,0.8750418433558566,0.9999996219411064,62743,21817.666666666664,21.817666666666668,-0.8602822016666667,33390,-3.5276070343256354
336,0.95,24,5,-0.9999970970044691,0.8824541577474633,0.9999973730927925,93172,19785.466666666667,19.785466666666665,-0.7696974355,33390,-3.3211616356377593
336,0.95,24,10,-0.9999838500520257,0.8934915170385986,0.9999854476201767,148797,18117.192063492064,18.117192063492062,-0.6940159316666668,33390,-2.997541884594568
336,0.95,72,3,-0.9999995844658035,0.874931411464373,0.9999996242120972,62549,21735.333333333332,21.735333333333337,-0.8593037016666667,33390,-3.529406802595168
336,0.95,72,5,-0.9999971964492835,0.8819976790364499,0.9999974863092591,92846,19688.100000000006,19.688100000000002,-0.7680890918333334,33390,-3.3337854070423756
336,0.95,72,10,-0.9999858536726531,0.8919709055078368,0.9999873697583179,148783,18012.122222222224,18.01212222222222,-0.6921478327420635,33390,-3.042026094535423
336,0.95,168,3,-0.9999995955954163,0.8747023942270221,0.9999996342771506,62540,21733.333333333332,21.733333333333334,-0.8596442149999999,33390,-3.5366048048422116
336,0.95,168,5,-0.9999972205192603,0.8819148305956597,0.9999975078906336,92846,19687.433333333334,19.687433333333335,-0.7682555998333334,33390,-3.3362620285500784
336,0.95,168,10,-0.9999858261877592,0.8919921331675374,0.9999873452190262,148770,18009.650793650795,18.009650793650792,-0.6922971557420635,33390,-3.0412819041304444
336,0.98,24,3,-0.9999679189840552,0.9152821898736996,0.9999714654920491,40332,15582.666666666666,15.582666666666668,-0.88661084,33390,-2.2280205567654896
