M,bucket,horizon_hours,count,mean,median,std,t_stat
168,"(.5,1%]",1,5846,0.0030314635455463046,0.0016308823733071076,0.025060677171772287,9.248875929013446
168,"(1,2%]",1,10458,0.0009660579030015948,0.0008522578805629788,0.018807723596196226,5.2528045646055315
168,"(2,5%]",1,24736,0.0006066805908584408,0.0006987115020326007,0.016216857446988656,5.883803199505206
168,"(25,75%]",1,373532,9.259939133373225e-05,4.434989043955451e-05,0.012014549934554796,4.710473141638653
168,"(5,25%]",1,158791,0.0003342090989549934,0.00041582511583704296,0.013875834582342508,9.597808877988705
168,"(75,95%]",1,161050,-0.00020983523298412368,-0.0002200220048629853,0.011965527289017234,-7.037638169804626
168,"(95,98%]",1,23201,-0.00034526907253555074,-0.0004500450045005211,0.013329923052439466,-3.9453304809194765
168,"(98,99%]",1,9718,-0.00012342887239328085,-0.00023431104172744188,0.013935861632209157,-0.873114866858656
168,"(99,99.5%]",1,5546,-0.0005282331762004143,-0.00047122023758960907,0.014206291422015327,-2.76907607476303
168,"(99.5,99.8%]",1,48,-0.0008239220041109987,-0.00017820864668349756,0.007935314668535878,-0.7193538415068439
168,"(99.8,100%]",1,6156,1.872076799986911e-05,-0.00042436694797359786,0.017785242429267278,0.0825872827579278
168,"(.5,1%]",4,5846,0.004925194921731267,0.0022535500586173818,0.0411707729166288,9.14668679955601
168,"(1,2%]",4,10458,0.0020680548053752298,0.0015374593228983935,0.033384064638345895,6.335007741586067
168,"(2,5%]",4,24736,0.0015139042849653163,0.0013248398896908986,0.029913933900317772,7.959570333235707
168,"(25,75%]",4,373482,0.00034985026315260666,0.00019483684080123798,0.023802557275782617,8.982421365155894
168,"(5,25%]",4,158779,0.0009028961028460025,0.0007802109532399903,0.026666461134571027,13.49176986831655
168,"(75,95%]",4,161012,-0.0001891536051428906,-0.0003810128780054045,0.023300415630337874,-3.257467394713899
168,"(95,98%]",4,23196,-9.812881582243744e-05,-0.000716413455605025,0.02680619718975184,-0.5575295620338683
168,"(98,99%]",4,9715,-0.0003559550358154267,-0.000965818426135856,0.027248697486937132,-1.28756984365965
168,"(99,99.5%]",4,5543,-0.0010095980306304118,-0.001469291801351691,0.026027579983347832,-2.887933205504105
168,"(99.5,99.8%]",4,48,0.0031546955374120536,0.0012347995638838372,0.017635309065568244,1.2393529215491335
168,"(99.8,100%]",4,6156,0.00028073269302436306,-0.0008951947911202685,0.0329092241518652,0.669305900409495
168,"(.5,1%]",8,5846,0.005376729782612529,0.002565563450532382,0.06071909477232445,6.770524718527828
168,"(1,2%]",8,10453,0.0028110126373184757,0.0018930430667296605,0.04765222994836959,6.0311488129996285
168,"(2,5%]",8,24726,0.00250846904443037,0.0018159974302188742,0.0398439124717701,9.89973800225027
168,"(25,75%]",8,373424,0.0006681725537293129,0.00015113191645110824,0.03355901499249871,12.166916862696604
168,"(5,25%]",8,158741,0.001545057223216441,0.000995607613470062,0.036577253073795724,16.82976444525164
168,"(75,95%]",8,160981,1.0137025801263505e-05,-0.0005762739771136838,0.032750297145789725,0.12418885345707666
168,"(95,98%]",8,23192,0.00031374648931367866,-0.0012066366105559223,0.037917345946440785,1.2601146050173488
168,"(98,99%]",8,9715,-0.00010817073391338426,-0.0015959144589848817,0.039796646203720025,-0.26790739689807813
