form,x,exit_frac,m_events,k_max,filter,total_return,profit_factor,max_drawdown,n_trades,turnover,total_funding,sharpe,stress_total_return,eligible,phase
abs,3.0,0.25,1,3,none,-0.8277161843765728,1.0019798260784003,0.9875545472582622,7902,2813.333333333333,-1.6960935149999998,0.0524167787346337,,False,preregistered
abs,3.0,0.25,1,3,trend72,-0.9949339925040448,0.9515019314807532,0.9992252076003988,15792,6275.333333333333,-1.05777729,-1.1467319886514094,,False,preregistered
abs,3.0,0.25,1,5,none,-0.8866227985173126,0.994887935951181,0.9874441333716298,10014,2282.0333333333338,-1.527700604,-0.1369458572123629,,False,preregistered
abs,3.0,0.25,1,5,trend72,-0.9954936843959538,0.9468675777005608,0.9992526636063382,22706,6060.366666666667,-1.0040879526666666,-1.270624724357864,,False,preregistered
abs,3.0,0.25,1,10,none,-0.8744964647939895,0.9946079390218632,0.9848031676083292,12520,1667.2849206349206,-1.3780956780158728,-0.1443836120824236,,False,preregistered
abs,3.0,0.25,1,10,trend72,-0.9956079244620952,0.9456077855848956,0.999247883912151,35753,5836.059523809524,-0.959038645829365,-1.3017803446679077,,False,preregistered
abs,3.0,0.25,3,3,none,-0.3594143390174126,1.014856641450313,0.9760931358571104,3974,1390.0,-1.6821082433333334,0.3883142187947966,,False,preregistered
abs,3.0,0.25,3,3,trend72,-0.978428181990572,0.969976486500513,0.997995064302284,14197,5546.0,-1.0636432583333333,-0.7120216929395178,,False,preregistered
abs,3.0,0.25,3,5,none,-0.4986734743166816,1.0103805036164208,0.9580500638736774,5069,1097.2,-1.509186744333333,0.2728833377509657,,False,preregistered
abs,3.0,0.25,3,5,trend72,-0.9807068103456036,0.9665299469050735,0.9980052139981356,20887,5450.766666666666,-1.0013154045,-0.7933781642598954,,False,preregistered
abs,3.0,0.25,3,10,none,-0.8422920337081928,0.9969402514692352,0.9833933707554312,6646,796.6341269841271,-1.3633431483730158,-0.0808015519323079,,False,preregistered
abs,3.0,0.25,3,10,trend72,-0.9869788909877988,0.9609718437477468,0.9986137401194308,33206,5361.639682539682,-0.9539075243928572,-0.924700025784938,,False,preregistered
abs,3.0,0.25,6,3,none,-0.2642164982877477,1.0161118893016856,0.9763032475415476,2480,867.3333333333333,-1.650564155,0.4269738230080259,,False,preregistered
abs,3.0,0.25,6,3,trend72,-0.9786624734202956,0.9707631692123004,0.9985479973724856,13339,5285.0,-1.0375514733333333,-0.7052558557644182,,False,preregistered
abs,3.0,0.25,6,5,none,-0.6743604871386031,1.006187529286961,0.972839996317824,3253,708.7666666666667,-1.4842837518333334,0.1657854523517866,,False,preregistered
abs,3.0,0.25,6,5,trend72,-0.98428763975268,0.9646408372940978,0.9988090476060568,20201,5290.733333333334,-0.9785140965,-0.8587740335674491,,False,preregistered
abs,3.0,0.25,6,10,none,-0.8881676267448048,0.9942450304434932,0.98831598659755,4355,508.46507936507936,-1.3505739271626984,-0.1547299053452517,,False,preregistered
abs,3.0,0.25,6,10,trend72,-0.9868116905965914,0.9619240621335776,0.9989651770109514,32527,5250.499206349206,-0.9312064031230158,-0.9197390611623718,,False,preregistered
abs,3.0,0.5,1,3,none,-0.7521419178572653,1.0060401026420198,0.987716222148654,7387,2937.333333333333,-1.7497594783333332,0.1500150999964707,,False,preregistered
abs,3.0,0.5,1,3,trend72,-0.6322038696033514,1.0047199073052075,0.972949514224093,10889,4920.666666666666,-1.0681365466666666,0.095596339693276,,False,preregistered
abs,3.0,0.5,1,5,none,-0.7724529665915141,1.0030976869575392,0.9849139190023944,9507,2672.866666666667,-1.641768199,0.0778767902487442,,False,preregistered
