bucket,horizon_hours,count,mean,median,std,t_stat
-10..-5,1,9004,0.0009803790256256012,0.00042159186358992073,0.01777828035006201,5.232653823311499
-2..2,1,613491,6.712191703349414e-05,3.6648830902263896e-05,0.01178005043206752,4.462942586473554
-20..-10,1,3718,0.0006467678616667625,-5.9111302947501e-05,0.024669038339871725,1.5986408421635756
-5..-2,1,34914,0.0002893071595733466,0.00021996554139303015,0.01450113339739338,3.727838055558287
10..20,1,21912,0.0005152523105190694,0.00017854255720117784,0.01881285541117312,4.054209993999833
2..5,1,48495,0.00011309410873045128,0.00010792143319671155,0.014311137093534517,1.7402607377650685
5..10,1,40152,0.0001969392496493429,2.5757769115064555e-05,0.015803550969584138,2.497072712352907
<-20,1,1786,-0.0021528997169217483,-0.000730566678550093,0.033847172850878786,-2.6880796226964825
>20,1,6896,0.0002155453199555034,8.431321267532432e-05,0.021832079507059052,0.8198645714552094
-10..-5,4,9004,0.0030795774142084735,0.0013014105226777373,0.03360966870340458,8.694500512646478
-2..2,4,613389,0.0002454578587640031,0.00013770311209038155,0.023041451777848446,8.343246861919067
-20..-10,4,3715,0.002385112500788567,6.16256855856534e-05,0.04375739231868258,3.32228469078938
-5..-2,4,34908,0.000931660152160296,0.000886222591285124,0.027963264037293604,6.224896586848054
10..20,4,21912,0.0020529721471615374,0.00019746645565799081,0.035762037587511605,8.497708155040845
2..5,4,48495,0.0005851585034941728,0.00033755792187073475,0.02772845887599226,4.647252501498447
5..10,4,40152,0.00089723899599565,0.000218581801861073,0.030302618256629985,5.933098757529076
<-20,4,1786,-0.0035150550697089964,-0.0016554134144866617,0.06226124324458045,-2.3859155748727763
>20,4,6896,-0.00022746389895232113,-0.002024786951231927,0.0397215649493037,-0.47553748330278833
-10..-5,8,9004,0.006220863850969907,0.003109862175643574,0.047957121679101745,12.308789092734452
-2..2,8,613253,0.00044068909008086396,0.0,0.032290251825713594,10.687612709184297
-20..-10,8,3711,0.00439480321981785,0.0007102272727272929,0.053586596127766006,4.996072593374697
-5..-2,8,34900,0.0016053857723373544,0.0017483245253622215,0.03825856113386466,7.839051012179788
10..20,8,21912,0.00435197908377262,0.0003198855848245419,0.051491361566006706,12.511040592529811
2..5,8,48495,0.0010340836897223783,0.00034497033255154186,0.03862971993402194,5.894983726168057
5..10,8,40152,0.002002239036018869,0.0003439315319695435,0.04240345074697163,9.461681290829972
<-20,8,1786,-7.473998307336768e-05,-0.0012194100900168592,0.07936415871457148,-0.03979873840976863
>20,8,6896,-7.274962366368258e-05,-0.00517279715440494,0.05473386412638904,-0.11037564836368169
-10..-5,24,8988,0.016877704708946124,0.009572707670270297,0.08046538918293121,19.885467243824706
-2..2,24,612701,0.001298423482551054,0.00021954542716851044,0.05924035181486053,17.156276100398145
-20..-10,24,3703,0.01114330968114027,0.004077203827310694,0.09290819391820623,7.298557575685043
-5..-2,24,34884,0.0025078736984768223,0.0031169567185436176,0.06481162128318381,7.227130787101888
10..20,24,21912,0.013512038522492978,0.0019011878555454942,0.10662875129207891,18.75804446721824
2..5,24,48495,0.004435022698676496,0.0010310065678937885,0.06963891166324447,14.024660390061944
5..10,24,40152,0.006879091494743907,0.0006386951214537584,0.08388464015937139,16.432446660712678
<-20,24,1786,0.018693884611389412,0.006634234940572137,0.11515786244177302,6.860356587221628
>20,24,6896,0.003644842297899395,-0.0070383146955106946,0.0999592247852672,3.0279903682847453
-10..-5,72,8956,0.03269536935182692,0.016068417943421287,0.13387622964472887,23.11212179566178
-2..2,72,611093,0.0036003765601654606,-0.0011487650775416913,0.10522105591841263,26.748468690217862
-20..-10,72,3695,0.034833503474750636,0.01768488745980701,0.13326245881672086,15.888999677684884
-5..-2,72,34756,0.011819429606055296,0.008152700367866528,0.1031546592845625,21.36104838593728
10..20,72,21912,0.03755318276544694,0.011748457027668247,0.18561676696089166,29.948188402005684
2..5,72,48495,0.01499662033343543,0.002830355563417486,0.12551780559950274,26.310950681090823
5..10,72,40152,0.020987954374736245,0.002200563379389564,0.14720924516965717,28.56857754058038
<-20,72,1786,0.01955972389295583,-0.005495765196880109,0.17167797491016987,4.814917668941451
>20,72,6896,0.020490807556258844,0.0033394644425159825,0.21955079947774653,7.7503743189666485
-10..-5,168,8924,0.05825546910431246,0.02580829846561805,0.17653919794666822,31.17276570707234
-2..2,168,607725,0.00909969666696293,-0.002583502491234402,0.16849253579796186,42.10171628780782
-20..-10,168,3687,0.06905542433011179,0.017570117784863726,0.227929358465143,18.39645315628309
-5..-2,168,34612,0.021724969856286695,0.010539370759543809,0.15327810814478618,26.368923399978527
10..20,168,21912,0.09004744485413631,0.017638728122708613,0.3549518502076327,37.552854910221946
2..5,168,48495,0.041704892518768535,0.010515260218539657,0.2191912467871419,41.899831950385824
5..10,168,40152,0.05568833670690074,0.004721104771508,0.24824893690961428,44.95007705917475
<-20,168,1786,0.0973453331667154,0.027841679232434746,0.2697200913895535,15.252553779453589
>20,168,6896,0.04699142369774739,-0.01780362905938826,0.36512708321680515,10.687427499146882
