bucket,horizon_hours,count,mean,median,std,t_stat
.1-.25,4,253320,-7.011359961028953e-05,0.0001743728466854222,0.010206966843609756,-3.4573257428704034
.25-.5,4,358191,7.011552278896995e-05,0.0,0.00963721728096143,4.354315170048817
.5-.75,4,349533,4.835779521033932e-05,0.0,0.009456749618466966,3.0232126309361878
.75-.9,4,242706,8.934409019900362e-05,-0.00019648365600699602,0.009985715734162952,4.40785082629988
.9-1,4,141517,0.0001650532857212331,-0.00047817770822455863,0.011097644834621787,5.594968674443254
0-.1,4,134552,-1.6397022813012136e-05,0.0005576467307959465,0.0115227932260646,-0.5219781346411303
break_down,4,66555,0.000708693045148679,0.0012345679012346622,0.013889784749376686,13.162942954425901
break_up,4,67300,0.0001963552364752429,-0.0007746363271758927,0.014264763898277301,3.570963670861409
.1-.25,16,253278,2.5484301761956604e-05,0.00034693613669889434,0.020643397554145394,0.6212841821771365
.25-.5,16,358084,0.00017477061402497267,8.92473799773974e-05,0.019709450143320584,5.306233555849499
.5-.75,16,349475,0.000357423129250524,-0.00016547626377683144,0.019548927480608207,10.808558413721606
.75-.9,16,242673,0.0004677350190656077,-0.0005341472720336027,0.02086558845229981,11.0428196360384
.9-1,16,141498,0.0003888691850212505,-0.0010155242620275007,0.021746693524367457,6.726442694357274
0-.1,16,134543,0.00018620351600554156,0.0008830753097661681,0.021858057499002503,3.124689491647782
break_down,16,66551,0.0010753011549852539,0.0018285334330714331,0.0239540813730638,11.580515296015932
break_up,16,67296,0.0006678178928901196,-0.0012933195873289782,0.02446590638038666,7.08094737730052
.1-.25,32,253199,9.749499135727936e-05,0.0003654035882632023,0.028895650399487972,1.6977776961498936
.25-.5,32,357948,0.0004531045677153245,0.00028481897450061133,0.02859955583903648,9.478707504536954
.5-.75,32,349436,0.0006951587757200487,-0.00040986159118816534,0.02837290071964384,14.483185527013902
.75-.9,32,242654,0.000933567276165454,-0.0008557557825515372,0.02912224519525127,15.791176709956627
.9-1,32,141455,0.0009713035331735296,-0.0011759172154279796,0.030121692337563778,12.127876105523622
0-.1,32,134528,0.00027658797569472777,0.0006493344326119477,0.02976558795815289,3.408200792206802
break_down,32,66541,0.0012665256782395265,0.0017492711370261649,0.032442529054307154,10.07033594383079
break_up,32,67269,0.0012700561868554028,-0.001368925393566034,0.03265585499886245,10.08717049152143
.1-.25,96,252929,0.0002853144142325685,0.00014451321039232745,0.05186949999925715,2.7663744502683536
.25-.5,96,357511,0.0017802242846185847,0.00022451368731646326,0.04966057989749243,21.43421777567617
.5-.75,96,349127,0.002443235491620287,-0.00045582066712601677,0.0494415698115211,29.198786012452825
.75-.9,96,242485,0.002491220340909879,-0.0012672263583082266,0.04973198239406553,24.66714060291544
.9-1,96,141401,0.002549583268518796,-0.0019230769230769162,0.05155672461854302,18.59559683808039
0-.1,96,134376,0.0005154957935270113,0.00037043928788926817,0.05356787348706328,3.5276181958785373
break_down,96,66487,0.003143556836570372,0.0024838811964909002,0.05555257033201392,14.591015799843563
break_up,96,67242,0.0028128952996213565,-0.0026009272954348184,0.05430810591944585,13.431026999837394
