bucket,horizon_hours,count,mean,median,std,t_stat
.4-.6,16,142150,0.009820879502059765,0.006260395632689264,0.011894688227299164,311.29400092196744
.6-.8,16,370096,0.011271625916379356,0.007335159290252136,0.013576942435152494,505.05861788092733
.8-1,16,467979,0.012495069382889192,0.008008178565343305,0.015168723010838138,563.5115650898512
1-1.25,16,376418,0.014248984407401577,0.009094289131246713,0.016565578789203287,527.7308565684966
>1.25,16,237236,0.017601352008294685,0.010980954172176316,0.021550609524397274,397.8109808660591
r<.4,16,19519,0.007692690933638129,0.004507255226962048,0.009585684010978113,112.12022427790563
.4-.6,32,142150,0.014610208424838345,0.009323704627803575,0.017240326653966406,319.5099250330248
.6-.8,32,370066,0.016416090801961127,0.010792409520237634,0.01963545144048285,508.5907392169619
.8-1,32,467853,0.017997321041956414,0.011621150493899002,0.021684639250648428,567.6888594979744
1-1.25,32,376229,0.020165738030507068,0.013086236979855115,0.022845939393100995,541.4161855888144
>1.25,32,237213,0.02464462564778243,0.015678662087501904,0.02866174846698028,418.78275368457247
r<.4,32,19519,0.011740562054817645,0.007050064480399909,0.014084181760928575,116.46248410847038
.4-.6,96,142088,0.02848621291158256,0.01925021676896993,0.031303897797358794,343.0164908024715
.6-.8,96,369563,0.030172639945296734,0.02024799874431016,0.03431889472329886,534.4711403957364
.8-1,96,467195,0.032977204471924405,0.02188719765491509,0.03890401958974408,579.3866110372252
1-1.25,96,376018,0.03557949756795553,0.024082008141225186,0.038346589673193494,568.9542975514623
>1.25,96,237175,0.04080496900342639,0.027240773286467457,0.045957248951962314,432.4077642063146
r<.4,96,19519,0.02289213102312265,0.015544041450777257,0.023466573083836588,136.29042081160853
