bucket,horizon_hours,count,mean,median,std,t_stat
h00,4,67228,-0.00013313240147457383,0.0,0.012002682322643511,-2.875944825935996
h01,4,67228,-0.00015492949273765585,0.0,0.011173168222686634,-3.595281144580927
h02,4,67228,0.0002965624425101545,1.4366710834101681e-05,0.009699687300929552,7.927450007469762
h03,4,67228,0.0003319413455297547,0.00012933797054304197,0.00916222669913768,9.393672448753733
h04,4,67228,0.000261253785761574,0.0,0.009064712063471474,7.472805429805017
h05,4,67228,0.00014073701421140732,0.0,0.009137659207623385,3.9934520294147946
h06,4,67228,0.00019250332559028624,-5.534904921272732e-05,0.009560917211060295,5.220520129241291
h07,4,67228,0.00013811540664796805,0.0,0.009514085242099032,3.7640049331083274
h08,4,67228,0.0003396292706394186,0.00010248214855035354,0.009036684874765262,9.744758266029764
h09,4,67228,-5.3208557779341604e-05,-9.411121583852156e-05,0.00872934278263687,-1.5804291652845854
h10,4,67230,-0.00016104738437392358,-0.00010743898979848066,0.008689748914751555,-4.805382952695041
h11,4,67232,-3.2331451559587146e-05,-0.00011330806670700744,0.00978865808636302,-0.8564264261224867
h12,4,67240,-0.0003272087604132533,-0.0004065910736162359,0.01075350580578465,-7.890212522337394
h13,4,67244,-0.00019776990748516466,-0.0003530567919649563,0.012832737540001297,-3.996388201317452
h14,4,67246,-0.00016011487464917418,-9.464528768604596e-05,0.012888272195601248,-3.2215895522953106
h15,4,67248,-9.888939801992581e-05,-0.00022359036382790798,0.012338774468718517,-2.078343814897805
h16,4,67254,-0.0001009247471152761,0.0,0.01170426039403637,-2.2362108706703867
h17,4,67256,0.00022489044472716972,0.00023685490348279714,0.011817847973490597,4.935124595414909
h18,4,67256,-6.810354183261413e-05,8.490910862923862e-05,0.010203864426696147,-1.73089425370973
h19,4,67256,-3.631524971293771e-07,0.00020029718377090333,0.01097015354698325,-0.008585030564611077
h20,4,67256,0.0002344741338065522,0.00014643978898210008,0.010257211349147971,5.928313381138192
h21,4,67256,0.00068204773996123,0.0004111705692927403,0.010294668051414414,17.181771691510924
h22,4,67256,0.0002659844277382463,0.0,0.009084079127490654,7.593479414948588
h23,4,67164,0.00027595632844910006,0.0,0.010663807735739255,6.706506166669559
