R,K,B,vol_norm,total_return_pct,profit_factor,max_dd_pct,n_trades,turnover,total_funding_pct,total_trade_cost_pct,sub1_ret_pct,sub2_ret_pct,plateau_pf
7,3,24,False,212.6,1.0329,48.72,5151,867.3,0.42,86.73,-2.3,4.27,1.0411
7,3,24,True,1149.44,1.069,36.41,5545,927.0,-6.61,92.7,56.74,41.24,1.0508
7,3,72,False,286.28,1.0384,47.91,2721,469.0,1.53,46.9,-24.93,36.35,1.0378
7,3,72,True,672.65,1.0593,34.12,2863,489.0,-4.86,48.9,20.96,33.86,1.0504
7,3,168,False,110.94,1.0247,42.97,1572,288.0,-0.97,28.8,32.98,25.18,1.0276
7,3,168,True,209.09,1.036,39.8,1608,293.0,-4.26,29.3,54.18,20.94,1.0366
7,5,24,False,121.12,1.0288,36.51,7267,748.4,0.14,74.84,9.78,2.0,1.0308
7,5,24,True,295.66,1.0496,27.55,7628,780.0,-5.49,78.0,34.03,20.86,1.0466
7,5,72,False,131.89,1.0309,31.75,3831,412.0,0.45,41.2,0.25,13.03,1.0345
7,5,72,True,361.91,1.0561,26.6,4031,424.8,-4.22,42.48,0.88,46.57,1.0459
7,5,168,False,14.51,1.0093,41.15,2234,263.2,0.65,26.32,35.14,2.55,1.0212
7,5,168,True,75.3,1.024,44.51,2291,265.0,-2.96,26.5,30.7,9.83,1.0278
7,10,24,False,11.5,1.0094,28.69,8640,475.9,1.06,47.59,-2.52,9.47,1.0213
7,10,24,True,47.31,1.0249,25.18,8885,486.7,-1.65,48.67,7.92,-2.41,1.0306
7,10,72,False,64.71,1.03,17.86,4469,270.5,0.78,27.05,4.17,23.44,1.0222
7,10,72,True,75.9,1.0354,17.15,4570,274.8,-0.68,27.48,9.49,20.19,1.0299
7,10,168,False,5.07,1.0063,34.41,2652,180.4,0.11,18.04,-1.84,8.45,1.0143
7,10,168,True,-6.01,0.9998,41.29,2722,184.7,-2.04,18.47,-1.69,8.45,1.0184
14,3,24,False,258.89,1.0362,51.54,3762,629.0,1.52,62.9,39.14,40.43,1.0349
14,3,24,True,349.64,1.0434,44.73,4047,675.0,-5.68,67.5,3.94,34.51,1.0462
14,3,72,False,328.24,1.0407,46.26,1977,334.7,2.15,33.47,27.92,47.39,1.0378
14,3,72,True,336.84,1.0436,35.67,2133,357.0,-4.47,35.7,15.53,70.83,1.0487
14,3,168,False,158.16,1.0296,53.89,1215,211.3,0.65,21.13,2.94,46.92,1.0318
14,3,168,True,255.6,1.0389,46.86,1305,223.0,-4.18,22.3,-2.94,37.76,1.0358
14,5,24,False,152.75,1.0332,44.9,5311,536.2,-0.05,53.62,16.04,12.74,1.0333
14,5,24,True,319.47,1.0512,34.47,5646,568.4,-4.18,56.84,31.07,24.47,1.0445
14,5,72,False,299.41,1.0478,40.3,2782,288.0,1.27,28.8,39.97,30.79,1.0392
14,5,72,True,535.45,1.066,31.42,2908,297.2,-1.13,29.72,55.8,42.87,1.0479
14,5,168,False,135.46,1.0323,34.53,1752,188.0,0.84,18.8,2.52,27.65,1.0295
14,5,168,True,194.12,1.0414,31.93,1854,195.8,-2.7,19.58,8.97,15.89,1.0364
14,10,24,False,21.13,1.0136,30.55,6471,342.2,0.94,34.22,3.54,10.36,1.0243
14,10,24,True,72.32,1.0336,25.4,6648,349.8,-1.54,34.98,8.42,8.91,1.031
14,10,72,False,39.31,1.0211,29.45,3375,191.5,1.37,19.15,11.24,6.71,1.031
14,10,72,True,70.68,1.0334,28.01,3409,191.2,0.02,19.12,7.44,11.39,1.0368
14,10,168,False,51.03,1.026,26.05,2023,124.0,0.73,12.4,24.91,1.09,1.0237
14,10,168,True,49.52,1.0265,27.41,2069,125.3,-1.56,12.53,6.43,17.53,1.0239
30,3,24,False,97.7,1.023,48.95,2697,449.7,-2.31,44.97,-2.3,19.55,1.0288
30,3,24,True,198.15,1.034,40.8,2956,492.7,-9.22,49.27,-7.47,50.25,1.0367
30,3,72,False,147.7,1.0283,39.24,1466,244.7,-1.45,24.47,13.48,43.83,1.0344
30,3,72,True,420.87,1.0489,41.38,1551,259.0,-8.41,25.9,11.33,70.59,1.0372
30,3,168,False,110.84,1.0246,43.51,883,149.0,-3.95,14.9,36.91,31.71,1.0256
30,3,168,True,106.35,1.0252,34.37,959,160.7,-9.49,16.07,12.33,37.22,1.0326
30,5,24,False,75.71,1.0225,39.97,3769,377.8,-0.72,37.78,19.58,12.24,1.0316
30,5,24,True,145.82,1.0344,34.87,3991,401.2,-4.3,40.12,33.49,11.12,1.0358
30,5,72,False,215.95,1.0412,34.1,1995,201.4,-1.33,20.14,25.73,32.37,1.0355
30,5,72,True,217.46,1.0434,32.25,2113,213.0,-3.74,21.3,24.36,26.04,1.043
30,5,168,False,60.91,1.0201,32.87,1274,131.6,-1.23,13.16,23.19,3.8,1.029
30,5,168,True,85.45,1.0256,28.11,1324,136.2,-4.27,13.62,17.71,14.41,1.0287
30,10,24,False,80.14,1.0351,28.61,4542,233.6,0.73,23.36,18.66,10.85,1.0292
30,10,24,True,58.83,1.0294,27.96,4841,247.2,-1.35,24.72,8.04,2.54,1.0348
30,10,72,False,114.84,1.0452,24.7,2395,127.9,0.94,12.79,20.72,14.23,1.0357
30,10,72,True,94.93,1.0416,25.94,2460,130.6,-1.11,13.06,14.12,9.39,1.0349
30,10,168,False,63.3,1.0303,24.8,1456,82.4,0.45,8.24,18.77,16.47,1.0276
30,10,168,True,25.36,1.0163,29.86,1490,84.1,-0.96,8.41,5.77,5.81,1.0281
